Id,Title,Uri,Rank,Sale7,SaleAll,Volumn7,VolumnAll
cG9zdDoxODg5MA==,Degen Toonz,/project/degentoonz/,58,128,37867,84911.00424894718,52445563.01585515
cG9zdDo4Mg==,Decentraland,/project/decentraland/,59,60,105409,68215.8584347698,230571730.412655
cG9zdDo2ODc0Mw==,Hedz,/project/hedz/,60,19,3254,66559.98771537,7670039.427886049
cG9zdDoxMjQyMA==,Illuminati NFT,/project/illuminatinft/,61,90,23897,65992.06796859748,27735531.90109613
cG9zdDoyMjg1NQ==,10KTF,/project/10ktf/,62,221,57567,65271.648469452,55269284.06256806
cG9zdDoyMzEyNg==,GODA,/project/goda/,63,103,14771,62675.16827606583,25370524.937923796
cG9zdDo1NDQ2,CyberKongz,/project/cyberkongz/,64,53,45073,56860.696293530054,336773994.95538586
cG9zdDoyMTA3OA==,Gh0stly Gh0sts,/project/gh0stlygh0sts/,65,146,16359,53903.513115872,17151779.83508192
cG9zdDo2MzQy,DeadFellaz,/project/deadfellaz/,66,99,49121,47817.10561122381,105180443.94023256
cG9zdDoxNjUyMA==,KaijuKingz,/project/kaijukingz/,67,95,18345,47432.231912458,106424256.62177391
cG9zdDo1NDc2,Forgotten Runes Wizard’s Cult,/project/forgottenrunes/,68,56,42333,46848.35241955304,70713310.68777262
cG9zdDo2NzI1,PUNKS Comic,/project/punkscomic/,69,63,49354,45727.43944875229,167625422.54770073
cG9zdDoxOTA2MQ==,Weather Report,/project/weatherreport/,70,26,20645,45080.15515450843,8636810.807684317
cG9zdDo2MDU3,Lazy Lions,/project/lazylions/,71,78,40777,44118.541157008265,103166546.13361166
cG9zdDo2NTU4NQ==,DigiDaigaku,/project/digidaigaku/,72,9,5958,44047.593206301375,35112489.01851023
cG9zdDoxODczNg==,Starcatchers,/project/starcatchers/,73,50,31650,42790.26496093078,24578594.757737592
cG9zdDoyODc4NzE=,Aopanda Party,/project/aopandaparty/,74,77,10909,41819.0389962625,3385780.5292299697
cG9zdDoxMTg2MA==,Alien Frens,/project/alienfrens/,75,153,68419,41474.012663298905,103114189.65107964
cG9zdDoyMzg0Mw==,Minimen,/project/minimen/,76,9,6401,41149.94317215555,1056095.5772654677
cG9zdDo2ODczNQ==,QQL,/project/qql/,77,5,1522,39332.5851962,32715957.692381874
cG9zdDoyMTMzMA==,Space Riders,/project/spaceriders/,78,173,32395,37339.741958691666,5816401.434411014
cG9zdDo1MzQ3,MoonCatRescue,/project/mooncatrescue/,79,71,35069,32719.1751424358,79459452.1527094
cG9zdDoyODc4NjU=,Bulls and Apes Project,/project/bullsandapesproject/,80,84,24135,30472.190939478478,8587777.68745549
cG9zdDoyMzY1Ng==,God Hates NFTees,/project/godhatesnftees/,81,50,13892,28212.2355224625,8571163.868544146
cG9zdDoyMzA3OA==,Acrocalypse,/project/acrocalypse/,82,90,37576,27633.2064768925,25202396.493562415
cG9zdDo3MjM1Ng==,Exosama,/project/exosama/,83,42,1592,27559.74119446,4049328.517916182
cG9zdDo3MTQx,The Currency,/project/thecurrency/,84,6,3465,27265.484773517,66445498.26939317
cG9zdDoyMTM2MA==,The Art of Seasons,/project/theartofseasons/,85,146,36199,25582.332268943832,28850830.004722767
cG9zdDoyMzA1Nw==,We Are All Going to Die,/project/weareallgoingtodie/,86,79,25567,25534.635486452662,23772069.48457336
cG9zdDoyMjI3,BitAIrt,/project/bitairt/,87,12,6564,24695.483957,6642985.752784655
cG9zdDoyMTI4OQ==,Impostors,/project/impostors/,88,24,10036,23700.6318045606,46614076.76313077
cG9zdDoyODc4NTM=,Where My Vans Go,/project/wheremyvansgo/,89,1,34,23315.5,2827101.1593195596
cG9zdDo2ODcyNg==,Kitaro World,/project/kitaroworld/,90,141,25185,23201.03240330077,3999644.647022026
cG9zdDo3MTI0,BYOVerse,/project/byoverse/,91,99,39514,22648.296920509998,53952125.58834316
cG9zdDoxODkxOQ==,WonderPals,/project/wonderpals/,92,79,31524,21700.315019735626,30458491.487449594
cG9zdDoxMzIyNw==,Pak,/project/pak/,93,31,17262,21644.443549631247,64583823.82510462
cG9zdDo2NDg1OQ==,Rare Apepe YC,/project/rareapepeyachtclub/,94,89,35902,21215.057088627877,18460153.84692807
cG9zdDoyMjg1MA==,Altered State Machine,/project/alteredstatemachine/,95,51,33675,20881.068144903886,53235668.150405124
cG9zdDo4ODA3,Knights of Degen,/project/knightsofdegen/,96,44,23788,20117.814041,12778198.856620664
cG9zdDoxMzE0NQ==,Pixels,/project/pixels/,97,38,17771,19087.8163686414,16209034.072938738
cG9zdDo2MDUx,Crypto Cannabis Club,/project/cryptocannabisclub/,98,111,23261,18932.43144795306,15909566.748529835
cG9zdDo5NDM2,Desperate ApeWives,/project/desperateapewives/,99,74,26353,18328.60033734225,50190237.20713282
cG9zdDoxMDA4Ng==,Ninja Squad,/project/ninjasquad/,100,81,23848,18125.63613371305,11132952.68188174
cG9zdDoyMzM3MQ==,Lil Nouns,/project/lilnouns/,101,68,15776,17262.524237497022,10053404.537353648
cG9zdDo2Njg=,CryptoSkulls,/project/cryptoskulls/,102,32,25724,17184.575948823123,66415145.30231066
cG9zdDoyMjM0NA==,Phantom Network (PxN),/project/phantomnetwork/,103,76,33745,17066.319888977665,160180944.85298535
cG9zdDo4NzQ4,Wassies (loomlocknft),/project/wassies/,104,16,15599,17045.669945999998,34015373.131457195
cG9zdDoyMTIxMg==,Akutars,/project/akutars/,105,43,10525,16944.196349715,36954489.3692887
cG9zdDoyMzEzNg==,Llamaverse,/project/llamaverse/,106,29,8889,16852.836169298,24982189.197845556
cG9zdDoyODc2ODg=,XANA,/project/xana/,107,23,10784,16489.8751745,6955661.300776337
cG9zdDozNDI1,MegaCube,/project/megacube/,108,2,472,15508.91391824,5773585.77768178
cG9zdDo2NTAzNw==,Webaverse,/project/webaverse/,109,78,29156,14850.848842412795,13242892.914940722
cG9zdDo3Mjkw,Adam Bomb Squad,/project/adambombsquad/,110,42,65320,14710.166587679525,71519480.94001377
cG9zdDoxMTkzOQ==,Grandpa Ape Country Club,/project/grandpaapecountryclub/,111,50,27257,14689.556736034105,14020650.112701958
